"Source:","/home/heller/BananaPi_M64_Portable/DCDC3_7-5+12/DCDC3_7-5+12.sch"
"Date:","Thu 14 Jul 2022 03:32:35 PM EDT"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Mfg Part #","Mouser Part Number","XLSEMI Part Number"
"","","C1","220uf","device:CP1_Small","Capacitors_SMD:CP_Elec_5x5.7","","","","667-6SVPE220MW ",""
"","","C2","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","81-GRM155R70J104KA1D ",""
"","","C3","220uf 50V","device:CP1_Small","Capacitors_SMD:CP_Elec_10x10.5","","","","667-EEE-FK1H221V ",""
"","","C4","220uf 50V","device:CP1_Small","Capacitors_SMD:CP_Elec_10x10.5","","","","667-EEE-FK1H221V ",""
"","","C5","1nf","device:C_Small","Capacitors_SMD:C_0402","","","","81-GRM1555C1H102JA1J",""
"","","C6","15nf","device:C_Small","Capacitors_SMD:C_0805","","","","810-CGA4F2C0G1H153J ",""
"","","C7","10pf","device:C_Small","Capacitors_SMD:C_0805","","","","187-CL21C100CBANNNC ",""
"","","C8","560uF","device:CP1_Small","Capacitors_SMD:CP_Elec_10x10.5","","","","667-20SVPF560M",""
"","","D1","550mV ","device:D_Schottky","Diodes_SMD:D_SMC","","","","241-SK54_R1_00001 ",""
"","","D2","SS34","device:D_Schottky","Diodes_SMD:D_SMB_Handsoldering","","","","750-SS34BF-HF",""
"","","J1","FAN","conn:Conn_01x02_Male","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","","",""
"","","L1","1.8uh","device:L_Small","XAL6030:INDM5564X32N","","","","994-XAL6030-182MEC ",""
"","","L2","33uH","device:L_Small","PM5022S-330M-RC:INDPM183140X690N","","","","542-PM5022S-330M-RC",""
"","","MK1","Mounting_Hole","mechanical:Mounting_Hole","Mounting_Holes:MountingHole_3.5mm","","","","",""
"","","MK2","Mounting_Hole","mechanical:Mounting_Hole","Mounting_Holes:MountingHole_3.5mm","","","","",""
"","","MK3","Mounting_Hole","mechanical:Mounting_Hole","Mounting_Holes:MountingHole_3.5mm","","","","",""
"","","MK4","Mounting_Hole_PAD","mechanical:Mounting_Hole_PAD","Mounting_Holes:MountingHole_3.5mm_Pad","","","","",""
"","","Q1"," CSD16323Q3","transistors:CSD16325Q5","Q3:Q3","","","","595-CSD16323Q3 ",""
"","","R1","6.81K","device:R","Resistors_SMD:R_0402","","","","71-CRCW0402-6.81K-E3",""
"","","R2","40K","device:R","Resistors_SMD:R_0805","","","","71-CRCW080540K0FKEA ",""
"","","R3","3K","device:R","Resistors_SMD:R_0805_HandSoldering","","","","71-CRCW0805-3K",""
"","","R4","1K","device:R","Resistors_SMD:R_0805_HandSoldering","","","","71-CRCW08051K00FKEAH",""
"","","R5","1K","device:R","Resistors_SMD:R_0402","","","","71-CRCW0402-1.0K",""
"","","R6","8.45K","device:R","Resistors_SMD:R_0402","","","","71-CRCW0402-8.45K-E3",""
"","","R7","100","device:R","Resistors_SMD:R_0402","","","","71-CRCW0402100RFKEDC ",""
"","","R8","5m","device:R","Resistors_SMD:R_0612","","","","71-WFCP06125L000FE66",""
"","","T1","+ 3.7V -","conn:Screw_Terminal_01x02","Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","",""
"","","T2","+ 12V -","conn:Screw_Terminal_01x02","Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","",""
"","","T3","+ 5V -","conn:Screw_Terminal_01x02","Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","",""
"","","U1","LM3488","lm3488:LM3488","Housings_SSOP:TSSOP-8_3x3mm_Pitch0.65mm","","","","926-LM3488MM ",""
"","","U2","XL6009","xl6009:XL6009","TO_SOT_Packages_SMD:TO-263-5_TabPin3","","XLSEMI","XL6009","","XL6009"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Mfg Part #","Mouser Part Number","XLSEMI Part Number"
"1","1","C1","220uf","device:CP1_Small","Capacitors_SMD:CP_Elec_5x5.7","","","","667-6SVPE220MW ",""
"2","1","C2","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","81-GRM155R70J104KA1D ",""
"3","2","C3, C4","220uf 50V","device:CP1_Small","Capacitors_SMD:CP_Elec_10x10.5","","","","667-EEE-FK1H221V ",""
"4","1","C5","1nf","device:C_Small","Capacitors_SMD:C_0402","","","","81-GRM1555C1H102JA1J",""
"5","1","C6","15nf","device:C_Small","Capacitors_SMD:C_0805","","","","810-CGA4F2C0G1H153J ",""
"6","1","C7","10pf","device:C_Small","Capacitors_SMD:C_0805","","","","187-CL21C100CBANNNC ",""
"7","1","C8","560uF","device:CP1_Small","Capacitors_SMD:CP_Elec_10x10.5","","","","667-20SVPF560M",""
"8","1","D1","550mV ","device:D_Schottky","Diodes_SMD:D_SMC","","","","241-SK54_R1_00001 ",""
"9","1","D2","SS34","device:D_Schottky","Diodes_SMD:D_SMB_Handsoldering","","","","750-SS34BF-HF",""
"10","1","J1","FAN","conn:Conn_01x02_Male","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","","",""
"11","1","L1","1.8uh","device:L_Small","XAL6030:INDM5564X32N","","","","994-XAL6030-182MEC ",""
"12","1","L2","33uH","device:L_Small","PM5022S-330M-RC:INDPM183140X690N","","","","542-PM5022S-330M-RC",""
"13","3","MK1, MK2, MK3","Mounting_Hole","mechanical:Mounting_Hole","Mounting_Holes:MountingHole_3.5mm","","","","",""
"14","1","MK4","Mounting_Hole_PAD","mechanical:Mounting_Hole_PAD","Mounting_Holes:MountingHole_3.5mm_Pad","","","","",""
"15","1","Q1"," CSD16323Q3","transistors:CSD16325Q5","Q3:Q3","","","","595-CSD16323Q3 ",""
"16","1","R1","6.81K","device:R","Resistors_SMD:R_0402","","","","71-CRCW0402-6.81K-E3",""
"17","1","R2","40K","device:R","Resistors_SMD:R_0805","","","","71-CRCW080540K0FKEA ",""
"18","1","R3","3K","device:R","Resistors_SMD:R_0805_HandSoldering","","","","71-CRCW0805-3K",""
"19","1","R4","1K","device:R","Resistors_SMD:R_0805_HandSoldering","","","","71-CRCW08051K00FKEAH",""
"20","1","R5","1K","device:R","Resistors_SMD:R_0402","","","","71-CRCW0402-1.0K",""
"21","1","R6","8.45K","device:R","Resistors_SMD:R_0402","","","","71-CRCW0402-8.45K-E3",""
"22","1","R7","100","device:R","Resistors_SMD:R_0402","","","","71-CRCW0402100RFKEDC ",""
"23","1","R8","5m","device:R","Resistors_SMD:R_0612","","","","71-WFCP06125L000FE66",""
"24","1","T1","+ 3.7V -","conn:Screw_Terminal_01x02","Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","",""
"25","1","T2","+ 12V -","conn:Screw_Terminal_01x02","Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","",""
"26","1","T3","+ 5V -","conn:Screw_Terminal_01x02","Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","",""
"27","1","U1","LM3488","lm3488:LM3488","Housings_SSOP:TSSOP-8_3x3mm_Pitch0.65mm","","","","926-LM3488MM ",""
"28","1","U2","XL6009","xl6009:XL6009","TO_SOT_Packages_SMD:TO-263-5_TabPin3","","XLSEMI","XL6009","","XL6009"
